-0.22413,-0.042066,-0.000397,-0.201397,0.032547,0.002519,-0.180474,0.02499,0.0014,-0.380743,0,0,0,7.22E-02,,,,,,
,6.98E+00,6.83E+01,7.22E-02,,,,,,,,,,6.97E-02,,,,,,
,6.80E+00,6.93E+01,6.97E-02,6.98E+00,6.83E+01,7.22E-02,,,,,,,6.36E-02,,,,,,
,6.80E+00,6.93E+01,6.36E-02,6.80E+00,6.93E+01,6.97E-02,6.98E+00,6.83E+01,7.22E-02,,,,8.63E-02,,,,,,
,6.75E+00,6.93E+01,8.63E-02,6.80E+00,6.93E+01,6.36E-02,6.80E+00,6.93E+01,6.97E-02,6.98E+00,6.83E+01,7.22E-02,1.09E-01,0.071627599,,,,,
,6.58E+00,6.93E+01,1.09E-01,6.75E+00,6.93E+01,8.63E-02,6.80E+00,6.93E+01,6.36E-02,6.80E+00,6.93E+01,6.97E-02,7.18E-02,0.070988641,,,,,
,6.50E+00,6.93E+01,7.18E-02,6.58E+00,6.93E+01,1.09E-01,6.75E+00,6.93E+01,8.63E-02,6.80E+00,6.93E+01,6.36E-02,4.16E-02,0.062607551,,,,,
,6.75E+00,6.93E+01,4.16E-02,6.50E+00,6.93E+01,7.18E-02,6.58E+00,6.93E+01,1.09E-01,6.75E+00,6.93E+01,8.63E-02,4.02E-02,0.049061114,,,,,
,7.22E+00,5.55E+01,4.02E-02,6.75E+00,6.93E+01,4.16E-02,6.50E+00,6.93E+01,7.18E-02,6.58E+00,6.93E+01,1.09E-01,8.33E-02,0.061051392,,,,,
,7.22E+00,6.93E+01,8.33E-02,7.22E+00,5.55E+01,4.02E-02,6.75E+00,6.93E+01,4.16E-02,6.50E+00,6.93E+01,7.18E-02,3.32E-02,0.045328056,,,,,
,6.93E+00,6.93E+01,3.32E-02,7.22E+00,6.93E+01,8.33E-02,7.22E+00,5.55E+01,4.02E-02,6.75E+00,6.93E+01,4.16E-02,9.93E-02,0.087460446,,,,,
,7.55E+00,5.79E+01,9.93E-02,6.93E+00,6.93E+01,3.32E-02,7.22E+00,6.93E+01,8.33E-02,7.22E+00,5.55E+01,4.02E-02,4.74E-02,0.055456195,,,,,
,7.79E+00,4.41E+01,4.74E-02,7.55E+00,5.79E+01,9.93E-02,6.93E+00,6.93E+01,3.32E-02,7.22E+00,6.93E+01,8.33E-02,4.07E-02,0.052237652,,,,,
,7.55E+00,4.44E+01,4.07E-02,7.79E+00,4.41E+01,4.74E-02,7.55E+00,5.79E+01,9.93E-02,6.93E+00,6.93E+01,3.32E-02,2.35E-02,0.02046896,,,,,
,6.71E+00,6.93E+01,2.35E-02,7.55E+00,4.44E+01,4.07E-02,7.79E+00,4.41E+01,4.74E-02,7.55E+00,5.79E+01,9.93E-02,5.88E-02,0.049902445,,,,,
,6.33E+00,6.93E+01,5.88E-02,6.71E+00,6.93E+01,2.35E-02,7.55E+00,4.44E+01,4.07E-02,7.79E+00,4.41E+01,4.74E-02,7.66E-02,0.09414017,,,,,
,6.38E+00,6.93E+01,7.66E-02,6.33E+00,6.93E+01,5.88E-02,6.71E+00,6.93E+01,2.35E-02,7.55E+00,4.44E+01,4.07E-02,9.56E-02,0.090671435,,,,,
,6.38E+00,6.93E+01,9.56E-02,6.38E+00,6.93E+01,7.66E-02,6.33E+00,6.93E+01,5.88E-02,6.71E+00,6.93E+01,2.35E-02,6.16E-02,0.062133732,,,,,
,6.63E+00,6.93E+01,6.16E-02,6.38E+00,6.93E+01,9.56E-02,6.38E+00,6.93E+01,7.66E-02,6.33E+00,6.93E+01,5.88E-02,6.94E-02,0.049307175,,,,,
,6.80E+00,6.93E+01,6.94E-02,6.63E+00,6.93E+01,6.16E-02,6.38E+00,6.93E+01,9.56E-02,6.38E+00,6.93E+01,7.66E-02,3.19E-02,0.047549236,,,,,
,6.58E+00,6.93E+01,3.19E-02,6.80E+00,6.93E+01,6.94E-02,6.63E+00,6.93E+01,6.16E-02,6.38E+00,6.93E+01,9.56E-02,6.55E-02,0.087479925,,,,,
,6.80E+00,6.93E+01,6.55E-02,6.58E+00,6.93E+01,3.19E-02,6.80E+00,6.93E+01,6.94E-02,6.63E+00,6.93E+01,6.16E-02,6.99E-02,0.072840908,,,,,
,6.75E+00,6.93E+01,6.99E-02,6.80E+00,6.93E+01,6.55E-02,6.58E+00,6.93E+01,3.19E-02,6.80E+00,6.93E+01,6.94E-02,7.66E-02,0.083615468,,,,,
,6.42E+00,6.93E+01,7.66E-02,6.75E+00,6.93E+01,6.99E-02,6.80E+00,6.93E+01,6.55E-02,6.58E+00,6.93E+01,3.19E-02,9.32E-02,0.086751889,,,,,
,6.38E+00,6.93E+01,9.32E-02,6.42E+00,6.93E+01,7.66E-02,6.75E+00,6.93E+01,6.99E-02,6.80E+00,6.93E+01,6.55E-02,7.29E-02,0.070208666,6.74E-02,2.70E-02,0.10779517,,
,6.21E+00,6.93E+01,7.29E-02,6.38E+00,6.93E+01,9.32E-02,6.42E+00,6.93E+01,7.66E-02,6.75E+00,6.93E+01,6.99E-02,7.34E-02,0.065985339,7.46E-02,3.04E-02,0.11884034,,
,6.25E+00,6.93E+01,7.34E-02,6.21E+00,6.93E+01,7.29E-02,6.38E+00,6.93E+01,9.32E-02,6.42E+00,6.93E+01,7.66E-02,5.11E-02,0.055015528,9.23E-02,4.10E-02,0.14358132,,
,6.25E+00,6.93E+01,5.11E-02,6.25E+00,6.93E+01,7.34E-02,6.21E+00,6.93E+01,7.29E-02,6.38E+00,6.93E+01,9.32E-02,6.02E-02,0.06434655,8.30E-02,2.65E-02,0.13949154,,
,6.25E+00,6.93E+01,6.02E-02,6.25E+00,6.93E+01,5.11E-02,6.25E+00,6.93E+01,7.34E-02,6.21E+00,6.93E+01,7.29E-02,,,,,,,
,,,,6.25E+00,6.93E+01,6.02E-02,6.25E+00,6.93E+01,5.11E-02,6.25E+00,6.93E+01,7.34E-02,,,,,,,
,,,,,,,6.25E+00,6.93E+01,6.02E-02,6.25E+00,6.93E+01,5.11E-02,,,,,,,
,,,,,,,,,,6.25E+00,6.93E+01,6.02E-02,,,,,,,
,,,,,,,,,,,,,,,,,,,
